Y,X1,X2,X3,X4,X5,X6,X7
21193,125.6,108.9,144.2,43,-0.6,-2.7,1.6
21197,125.3,100.2,155.1,18,1.7,0,3.4
21189,118.5,83.1,165.5,8,2.2,-0.4,4.8
12125,113.5,89.9,141.4,19,-2.2,-4.3,0
21147,111.1,90.6,134.9,22,22.9,6.9,41.4
21131,110.3,87,138.5,16,0.8,-0.7,2.4
21159,109.1,84.8,138.3,14,1.3,-0.8,3.4
21165,106,76.4,144.4,9,1.4,-1.4,4.3
21109,104.6,83,130.4,17,0.8,-1.4,3
5111,103.5,88,121,33,-0.2,-1.4,1
47139,103.3,85.5,124.1,25,0.5,-1.2,2.1
21071,98.7,86.1,112.6,47,0.6,-0.4,1.6
21045,98.5,80.3,119.9,21,0.6,-0.7,2
29123,98.5,78.7,122.3,17,-0.3,-1.9,1.3
29133,97.2,77.6,120.6,17,0.3,-1.4,1.9
21051,96.5,78.9,116.9,22,1.2,-0.4,2.8
21133,96.1,80.7,113.7,29,-0.4,-1.7,1
21235,95.6,82.5,110.3,39,-0.2,-1.6,1.3
21095,95.3,81.3,111.2,34,0.6,-0.6,1.9
54045,95.1,82.8,108.9,45,-1.1,-2.2,0
47151,94.9,78.4,113.8,24,-0.1,-1.3,1.2
21183,94.6,79.5,112,28,0.3,-1,1.6
21023,92.7,67.4,124.9,9,0.1,-1.7,1.9
21115,92.5,77.1,110.3,27,0.2,-0.9,1.3
29035,92.3,64.7,128.7,8,1.2,-1.2,3.7
21223,91.9,66.4,124,9,0.9,-1.2,3.1
5107,90.8,74.9,109.3,23,0.2,-0.9,1.3
21129,90.8,65.2,124,9,-0.5,-2.7,1.9
29155,90.5,73.1,110.8,19,0.1,-1.4,1.8
21099,90.2,73.5,109.9,21,0.3,-1.2,1.8
21181,89.6,64,122.8,8,-0.1,-2.1,1.9
21103,89.3,70.8,111.4,17,1.5,-0.4,3.4
21203,89.2,71.8,109.7,19,0.5,-0.9,2
47005,89,72.8,108.3,22,0.9,-0.7,2.5
21075,88.9,64.2,121.3,9,0.5,-1.1,2
47095,88.9,63.2,122.2,8,0.4,-1.8,2.6
21033,88,69.6,110.2,16,0.6,-1,2.2
21085,87.9,73.9,104.1,28,6.8,0.1,13.9
29223,87.9,71,108.3,19,0.3,-1.1,1.7
28089,87.4,78.7,96.7,78,-8.6,-11.9,-5.1
21163,87,71.7,104.7,24,-0.2,-1.9,1.5
47013,86.8,76,98.8,49,0.1,-0.8,1
21161,86.6,69.6,106.7,19,0.5,-1,2
47153,86.6,68.3,108.6,16,2.2,0.6,3.8
54047,86.6,72,103.5,26,0.4,-0.8,1.6
21119,85.9,67.9,107.4,17,-0.3,-1.9,1.2
21121,85.9,73.1,100.3,33,0.1,-1.3,1.5
51105,85.9,72.1,101.7,28,0.2,-1.1,1.4
21195,85.4,76.4,95.4,67,-0.3,-1.1,0.5
21127,85.1,67.1,106.7,16,-0.1,-1.7,1.5
47133,84.8,70.6,101.3,26,0.1,-1.1,1.4
28081,84.5,76.2,93.5,77,2.2,0.9,3.4
29143,84.5,68.9,102.9,21,0.8,-0.7,2.3
21171,84.3,64.4,109.1,12,0.3,-1.6,2.3
51530,84.3,57,120.4,6,0.5,-2,3
47025,84.2,72.1,97.9,36,0.3,-1.1,1.6
12077,84.1,57.4,118.8,7,0.1,-2.4,2.7
21207,84.1,68.5,102.6,21,1,-0.9,3
21135,84.1,65.3,106.8,14,0.6,-1.6,2.8
47029,84.1,72.8,96.8,42,0.5,-0.5,1.4
21169,84,63.4,109.7,11,0.5,-1.7,2.9
21077,83.8,58.8,116.2,8,-0.6,-3,1.9
26011,83.8,68.1,102.7,21,0.5,-1.1,2.2
29083,83.6,70,99.4,28,0.9,-0.3,2.2
5067,83.5,67.4,102.6,19,1.8,0.5,3.1
21065,83.5,65.9,104.7,16,1,-1.1,3.1
5061,83.1,64.6,105.6,14,1.2,-0.5,2.9
54059,83.1,69.3,99,27,-0.8,-2.1,0.6
47049,83,67.5,101.5,21,0,-1.3,1.2
27087,82.7,55.2,120.2,6,3.4,0.7,6.2
5075,82.3,66.7,100.8,20,-0.5,-1.9,1
29181,82,65.2,102.4,17,0.6,-1.2,2.5
47061,81.9,64.5,103.1,16,1.3,-1.2,3.8
51690,81.9,64.8,102.5,17,1.7,0.2,3.2
21213,81.7,65.2,101.4,17,1.6,-0.1,3.3
21139,81.6,61.8,106.9,12,0.1,-1.8,2
21217,81.6,68.1,97.1,26,0.6,-0.2,1.4
40127,81.6,63.4,104.1,14,-0.8,-2.7,1.2
47101,81.6,62.7,104.9,13,-0.1,-1.9,1.7
21175,81.5,62.6,104.6,13,0.8,-1.2,2.9
54085,81.5,61.5,106.6,12,1.1,-1.3,3.6
54005,81.5,67.5,97.7,25,-0.3,-1.7,1.1
21091,81.4,58.3,111,9,1.4,-1.4,4.2
47159,81.4,65,100.9,18,1.4,0,2.9
13035,81.3,65.8,99.5,20,1.5,0,3.1
18143,81.2,66.7,98.1,23,-0.7,-2.2,0.9
29069,81.2,69.2,94.8,33,-0.1,-1.4,1.2
29221,81.1,66.8,97.7,24,0.6,-1.4,2.7
40029,81.1,56.4,114.5,7,0.8,-0.9,2.7
54101,81,60,107.9,10,-0.1,-1.7,1.5
47083,80.8,59.2,108.7,10,0.9,-1.1,2.9
18115,80.6,55,115.2,7,0.4,-2.6,3.5
21221,80.6,63.8,101,17,-0.7,-2.3,0.9
29119,80.6,64.8,99,19,0.4,-1.1,1.8
47021,80.6,67.9,94.9,32,-0.8,-2.2,0.7
21053,80.5,60.6,105.4,11,1.3,-1,3.7
48315,80.3,62.6,102.7,14,0.5,-1.2,2.2
17065,80.2,59.3,107,10,1.6,-0.8,4.1
5021,80.1,64.9,98.4,20,-0.3,-1.8,1.3
18155,80,59.3,105.9,10,-0.9,-3.2,1.5
21027,80,65.1,97.6,21,0.5,-0.8,1.8
54109,80,66,96.4,24,0.1,-1.2,1.5
18165,79.9,63.9,99.1,18,-0.2,-1.4,1
47087,79.9,61.5,102.8,14,0.1,-2.1,2.2
1127,79.8,71.6,88.7,71,-0.1,-0.9,0.7
22087,79.8,66.1,95.3,26,0.1,-0.8,1
21079,79.6,63.1,99.5,16,3,0.9,5.1
21231,79.5,65,96.5,22,-0.5,-1.8,0.9
51173,79.5,68.2,92.3,36,0.7,-0.1,1.5
13083,79.3,62.7,99.2,16,-0.6,-2.5,1.4
18007,79.3,57.4,107.4,9,2.3,0.6,4.1
13267,79.1,64.1,96.5,20,0.7,-0.7,2.1
54013,79,57.5,107.2,9,-0.7,-2.8,1.5
21055,78.8,58,105.3,10,-0.9,-2.9,1.2
47097,78.7,64.7,94.8,23,0,-1.5,1.5
5105,78.5,59,103.2,11,1.6,-0.4,3.6
28161,78.4,60.7,100.3,14,1.6,0,3.2
12067,78.3,54.7,109,7,0.6,-2.4,3.6
29023,78.3,68.4,89.3,46,-0.2,-1.4,1
21225,78.2,60.2,100.2,13,0.4,-1.6,2.4
28117,78.2,64.8,93.7,24,0.6,-0.9,2.1
17039,78.1,62.2,97.1,17,0.9,-0.9,2.8
21059,78.1,71,85.7,92,-0.5,-0.9,0
21005,78,62.5,96.3,18,1.3,-0.7,3.3
21141,77.8,64.9,92.6,26,0.3,-1,1.6
47109,77.8,65.4,92.2,28,0.8,-0.7,2.2
12037,77.7,59.1,101.1,12,-0.9,-2.6,0.8
21237,77.6,53.4,109.6,7,-0.4,-2.8,2
40063,77.6,60.9,98,15,0.6,-0.5,1.6
13233,77.5,66.6,89.9,37,0,-0.9,0.8
47143,77.5,65.5,91.1,31,-0.8,-1.8,0.2
47111,77.5,63.1,94.3,21,0,-1.1,1.1
21011,77.4,58.2,101.2,11,1,-1.1,3.1
12075,77.3,67.7,88.1,49,-0.3,-1.1,0.6
21177,77.3,65.7,90.6,32,-0.8,-1.9,0.3
29177,77.3,63.3,93.6,22,0.1,-1.2,1.5
47135,77.3,56.3,104.7,9,-0.2,-2,1.6
54043,77.3,63.2,94,22,-0.4,-2.2,1.4
28039,76.9,61.1,95.3,18,-0.3,-1.8,1.1
5073,76.8,55.5,105.1,9,-0.8,-3.2,1.6
22021,76.8,56.4,102.6,10,0.3,-1.3,1.9
29187,76.7,68.2,86.1,59,-0.5,-1.4,0.4
47079,76.7,66.1,88.7,38,0,-1.2,1.1
51001,76.7,66,88.8,38,-0.6,-1.7,0.4
21031,76.6,58,99.5,12,0.3,-1.5,2.2
28155,76.6,56.6,101.8,10,1.2,-0.9,3.4
40035,76.6,60.5,96.2,16,0,-1.4,1.5
51520,76.6,62.1,93.8,20,-0.2,-1.3,1
13295,76.4,68.2,85.3,65,-0.1,-0.9,0.8
18133,76.4,65.1,89.2,33,0.4,-0.7,1.5
47085,76.4,61.9,93.6,20,0.4,-1.1,1.9
12129,76.3,62.6,92,24,-1,-2.3,0.2
47173,76.2,60.8,94.5,18,-0.6,-2,0.9
5099,76.1,56,101.9,10,0.1,-2.1,2.3
21007,76.1,55.3,103.2,9,-1.5,-3.4,0.5
47039,76.1,58.9,97.6,14,0.1,-1.6,1.9
5149,76,62,92.4,21,0.1,-1.3,1.5
13143,76,63.4,90.5,26,0.4,-0.9,1.7
18123,76,61,93.8,18,1.5,0,3
28077,76,57.9,98.3,12,0.5,-1.1,2
21073,75.9,66.1,86.7,45,-0.3,-1.1,0.6
28013,75.9,59.4,95.9,15,1,-0.3,2.2
13003,75.8,49.7,110.4,6,0.3,-1.9,2.5
5037,75.7,60.4,94,17,0.4,-0.9,1.7
20207,75.6,44.9,123.4,4,2.1,-0.3,4.5
54073,75.6,53.7,104.5,8,-1.1,-3.7,1.5
40079,75.4,66,85.8,47,0,-1.1,1
5059,75.3,63.9,88.2,32,0.1,-1,1.2
18149,75.3,62,90.8,23,0.5,-0.6,1.6
37093,75.3,61.9,90.6,24,0.7,-0.8,2.3
12003,75.2,61,91.8,21,-1.5,-3.3,0.3
29025,75.2,55.5,100.5,10,2.2,-0.2,4.7
48407,75.2,62.8,89.6,28,-0.4,-1.8,1
39015,75.1,65,86.4,41,-0.7,-1.6,0.2
29055,75,62.1,90,24,0.4,-0.8,1.5
51195,75,64.4,87.1,36,-0.8,-1.7,0.1
13161,74.9,57.6,96.1,13,-1.2,-2.7,0.4
16079,74.8,58.7,94.8,15,-1.2,-2.8,0.5
21199,74.7,66.6,83.7,63,-0.1,-1,0.9
48455,74.7,60,92.7,19,0.9,-0.7,2.5
47167,74.6,64.9,85.3,45,0.5,-0.5,1.6
13055,74.5,61.3,89.8,23,-0.6,-1.8,0.7
39001,74.5,62.3,88.6,27,-0.4,-1.8,1.1
17181,74.4,59.7,92,18,1,-0.6,2.6
21125,74.4,65.2,84.5,50,0.4,-0.6,1.4
54053,74.4,62.5,88.2,28,-0.6,-1.7,0.4
17153,74.3,51.1,106.1,7,0,-1.9,2
47073,74.3,65.8,83.7,57,0.6,-0.2,1.5
28043,74.2,60.2,90.7,20,1.1,-0.4,2.7
13129,74.1,64.3,85,43,0.2,-1,1.5
13025,74.1,58,93.5,15,-0.6,-2.5,1.4
17059,74.1,50.9,106.5,7,-1.8,-3.6,0
5039,74,53.6,100.8,9,-1,-2.8,0.8
40013,74,64.1,85.2,41,-0.1,-1.2,1.1
40115,74,62.8,86.7,32,-15.1,-24.4,-4.6
40101,74,65.9,82.8,63,0.1,-0.4,0.7
47121,74,56,96.6,12,1.2,-1.1,3.6
21013,73.9,61.9,87.7,28,-1.2,-2.6,0.3
45029,73.9,63.5,85.7,38,0.8,-0.1,1.7
12029,73.8,59.2,91.4,19,0.1,-1.5,1.7
21151,73.8,65.5,82.8,60,-0.4,-1.9,1.2
28107,73.8,61.9,87.3,28,0,-1.2,1.2
29201,73.8,63.3,85.6,36,0,-1.1,1.1
17055,73.7,63.9,84.7,42,-0.3,-1.3,0.6
21233,73.7,56.4,94.9,13,-1.3,-2.8,0.2
22111,73.6,60.3,89.2,22,-0.7,-2.5,1.2
28079,73.6,59.5,90.3,19,1.8,0.2,3.4
45033,73.6,61.5,87.6,27,-0.2,-2,1.6
51131,73.6,57.3,93.9,15,-0.5,-1.5,0.6
21043,73.5,61,87.9,25,-1.1,-2.6,0.4
54019,73.5,64.3,83.8,47,-0.2,-1.2,0.8
47123,73.4,63.8,84.1,45,0,-1,1
48373,73.4,64.3,83.7,49,-0.6,-1.7,0.5
21025,73.2,55.7,94.7,13,-1.8,-4.1,0.6
39145,73.2,65.7,81.4,71,-0.3,-1,0.4
47081,73.2,59.8,88.9,21,0.6,-0.9,2.1
5091,73.1,62.6,84.8,36,0.2,-1,1.3
21009,73,63.1,84.1,40,-0.5,-1.6,0.6
21153,73,54.1,96.6,10,-0.1,-2.2,1.9
47057,73,59.9,88.4,23,-2.3,-5.9,1.4
21083,72.8,62.4,84.4,36,0.4,-0.8,1.6
26079,72.7,57.9,90.6,17,0.7,-1.1,2.5
55001,72.7,60.7,86.9,27,1,-0.3,2.3
22035,72.6,48.9,104.1,6,-0.7,-2.8,1.3
29125,72.6,53.2,97.8,9,0.8,-1.2,2.9
47181,72.6,57.5,90.8,16,0.3,-1.4,2
5089,72.5,59.1,88.9,22,-0.8,-2.4,0.9
5115,72.5,63.7,82.3,49,1.7,-0.7,4.1
29017,72.5,55.1,94.2,12,0.6,-1.2,2.4
17017,72.4,55.3,93.5,12,-0.2,-1.9,1.5
40133,72.4,59.9,86.9,24,-0.2,-1.6,1.2
5085,72.3,63.3,82.2,49,0.1,-0.9,1.2
1075,72.2,56.8,91.1,15,1.3,-0.2,2.8
5035,72.2,61.8,84,36,-0.5,-1.5,0.6
38079,72.2,52.3,97,9,0.4,-1.6,2.4
40049,72.2,60.2,86,26,0.9,-0.5,2.3
47059,72.2,64.7,80.4,70,0.7,-0.1,1.5
51073,72.2,61.4,84.4,34,-1.1,-2.3,0.2
22115,72.1,60.8,84.8,30,0.3,-0.7,1.4
1039,71.9,62.1,83.1,39,1,-0.3,2.3
13225,71.9,58.1,88,20,-0.2,-1.8,1.5
21089,71.9,61.7,83.5,36,-0.5,-1.6,0.6
40111,71.9,61.8,83.4,36,0.1,-0.7,1
47117,71.9,59.9,85.8,26,0.1,-0.8,0.9
47041,71.9,57.3,89.4,17,0.6,-1.2,2.5
28131,71.8,55.2,91.9,13,-0.9,-3,1.1
37185,71.8,59.1,86.9,23,0.9,-0.9,2.8
5117,71.7,52.1,97.2,9,-0.3,-2.3,1.8
12041,71.7,56.9,89.5,17,-1.1,-2.7,0.5
22043,71.7,56.8,89.4,16,-0.2,-2.1,1.7
47129,71.7,57.7,88.2,19,-1.5,-2.4,-0.6
5139,71.6,61.7,82.8,38,0.5,-0.3,1.4
21137,71.6,58.7,86.7,22,0.1,-1.6,1.8
29099,71.6,66.5,76.9,157,-0.6,-1.1,-0.1
51051,71.6,56.3,90.3,16,-0.3,-1.6,1.1
47131,71.5,60.4,84.2,30,1,-0.4,2.3
18041,71.4,59,85.9,24,1.1,0,2.2
20061,71.4,56.4,88.9,16,0.5,-0.8,1.9
19135,71.3,51,98.1,8,1.4,-0.4,3.3
1061,71.2,59.6,84.7,27,-0.7,-1.9,0.6
29207,71.2,60.1,83.9,30,0.2,-1.1,1.4
54103,71.2,57,88.3,18,-0.1,-1.8,1.6
12107,71.1,64,78.8,78,-0.7,-1.4,0.1
47145,71.1,63,80,58,-0.4,-1.3,0.4
5095,70.9,51.4,96.7,9,-1.2,-2.5,0.1
13195,70.8,58.1,85.4,23,0.6,-0.8,2
22123,70.8,52.9,93.4,11,0.5,-1.2,2.2
37053,70.8,56.5,87.6,18,-1.1,-2.9,0.7
47171,70.8,57.5,86.8,20,1.1,-0.5,2.7
13171,70.7,55.3,89.4,15,-0.1,-1.8,1.6
18071,70.7,60.7,81.9,37,1.4,0.1,2.6
22049,70.7,55.7,88.9,15,1.3,-0.4,2.9
45069,70.7,58.1,85.3,23,0.5,-1.3,2.3
